postal_code,city,gmina,powiat,wojewodztwo
81-429,Gdynia,Gdynia,Gdynia,pomorskie
81-472,Gdynia,Gdynia,Gdynia,pomorskie
81-463,Gdynia,Gdynia,Gdynia,pomorskie
81-200,Gdynia,Gdynia,Gdynia,pomorskie
81-504,Gdynia,Gdynia,Gdynia,pomorskie
81-321,Gdynia,Gdynia,Gdynia,pomorskie
81-539,Gdynia,Gdynia,Gdynia,pomorskie
81-544,Gdynia,Gdynia,Gdynia,pomorskie
81-066,Gdynia,Gdynia,Gdynia,pomorskie
81-364,Gdynia,Gdynia,Gdynia,pomorskie
81-468,Gdynia,Gdynia,Gdynia,pomorskie
81-657,Gdynia,Gdynia,Gdynia,pomorskie
81-500,Gdynia,Gdynia,Gdynia,pomorskie
81-537,Gdynia,Gdynia,Gdynia,pomorskie
81-272,Gdynia,Gdynia,Gdynia,pomorskie
81-357,Gdynia,Gdynia,Gdynia,pomorskie
81-363,Gdynia,Gdynia,Gdynia,pomorskie
81-396,Gdynia,Gdynia,Gdynia,pomorskie
81-122,Gdynia,Gdynia,Gdynia,pomorskie
81-595,Gdynia,Gdynia,Gdynia,pomorskie
81-083,Gdynia,Gdynia,Gdynia,pomorskie
81-593,Gdynia,Gdynia,Gdynia,pomorskie
81-654,Gdynia,Gdynia,Gdynia,pomorskie
81-555,Gdynia,Gdynia,Gdynia,pomorskie
81-152,Gdynia,Gdynia,Gdynia,pomorskie
81-383,Gdynia,Gdynia,Gdynia,pomorskie
81-081,Gdynia,Gdynia,Gdynia,pomorskie
81-102,Gdynia,Gdynia,Gdynia,pomorskie
81-312,Gdynia,Gdynia,Gdynia,pomorskie
81-523,Gdynia,Gdynia,Gdynia,pomorskie
81-146,Gdynia,Gdynia,Gdynia,pomorskie
81-062,Gdynia,Gdynia,Gdynia,pomorskie
81-632,Gdynia,Gdynia,Gdynia,pomorskie
81-204,Gdynia,Gdynia,Gdynia,pomorskie
81-271,Gdynia,Gdynia,Gdynia,pomorskie
81-063,Gdynia,Gdynia,Gdynia,pomorskie
81-260,Gdynia,Gdynia,Gdynia,pomorskie
81-132,Gdynia,Gdynia,Gdynia,pomorskie
81-074,Gdynia,Gdynia,Gdynia,pomorskie
81-458,Gdynia,Gdynia,Gdynia,pomorskie
81-432,Gdynia,Gdynia,Gdynia,pomorskie
81-229,Gdynia,Gdynia,Gdynia,pomorskie
81-323,Gdynia,Gdynia,Gdynia,pomorskie
81-333,Gdynia,Gdynia,Gdynia,pomorskie
81-225,Gdynia,Gdynia,Gdynia,pomorskie
81-222,Gdynia,Gdynia,Gdynia,pomorskie
81-006,Gdynia,Gdynia,Gdynia,pomorskie
81-661,Gdynia,Gdynia,Gdynia,pomorskie
81-254,Gdynia,Gdynia,Gdynia,pomorskie
81-361,Gdynia,Gdynia,Gdynia,pomorskie
81-009,Gdynia,Gdynia,Gdynia,pomorskie
81-573,Gdynia,Gdynia,Gdynia,pomorskie
81-653,Gdynia,Gdynia,Gdynia,pomorskie
81-436,Gdynia,Gdynia,Gdynia,pomorskie
81-177,Gdynia,Gdynia,Gdynia,pomorskie
81-614,Gdynia,Gdynia,Gdynia,pomorskie
81-562,Gdynia,Gdynia,Gdynia,pomorskie
81-219,Gdynia,Gdynia,Gdynia,pomorskie
81-646,Gdynia,Gdynia,Gdynia,pomorskie
81-454,Gdynia,Gdynia,Gdynia,pomorskie
81-434,Gdynia,Gdynia,Gdynia,pomorskie
81-581,Gdynia,Gdynia,Gdynia,pomorskie
81-367,Gdynia,Gdynia,Gdynia,pomorskie
81-397,Gdynia,Gdynia,Gdynia,pomorskie
81-548,Gdynia,Gdynia,Gdynia,pomorskie
81-637,Gdynia,Gdynia,Gdynia,pomorskie
81-449,Gdynia,Gdynia,Gdynia,pomorskie
81-228,Gdynia,Gdynia,Gdynia,pomorskie
81-245,Gdynia,Gdynia,Gdynia,pomorskie
81-584,Gdynia,Gdynia,Gdynia,pomorskie
81-538,Gdynia,Gdynia,Gdynia,pomorskie
81-501,Gdynia,Gdynia,Gdynia,pomorskie
81-147,Gdynia,Gdynia,Gdynia,pomorskie
81-261,Gdynia,Gdynia,Gdynia,pomorskie
81-522,Gdynia,Gdynia,Gdynia,pomorskie
81-542,Gdynia,Gdynia,Gdynia,pomorskie
81-442,Gdynia,Gdynia,Gdynia,pomorskie
81-220,Gdynia,Gdynia,Gdynia,pomorskie
81-108,Gdynia,Gdynia,Gdynia,pomorskie
81-045,Gdynia,Gdynia,Gdynia,pomorskie
81-020,Gdynia,Gdynia,Gdynia,pomorskie
81-410,Gdynia,Gdynia,Gdynia,pomorskie
81-105,Gdynia,Gdynia,Gdynia,pomorskie
81-608,Gdynia,Gdynia,Gdynia,pomorskie
81-422,Gdynia,Gdynia,Gdynia,pomorskie
81-423,Gdynia,Gdynia,Gdynia,pomorskie
81-639,Gdynia,Gdynia,Gdynia,pomorskie
81-078,Gdynia,Gdynia,Gdynia,pomorskie
81-258,Gdynia,Gdynia,Gdynia,pomorskie
81-012,Gdynia,Gdynia,Gdynia,pomorskie
81-645,Gdynia,Gdynia,Gdynia,pomorskie
81-347,Gdynia,Gdynia,Gdynia,pomorskie
81-401,Gdynia,Gdynia,Gdynia,pomorskie
81-535,Gdynia,Gdynia,Gdynia,pomorskie
81-503,Gdynia,Gdynia,Gdynia,pomorskie
81-133,Gdynia,Gdynia,Gdynia,pomorskie
81-270,Gdynia,Gdynia,Gdynia,pomorskie
81-166,Gdynia,Gdynia,Gdynia,pomorskie
81-319,Gdynia,Gdynia,Gdynia,pomorskie
81-325,Gdynia,Gdynia,Gdynia,pomorskie
81-620,Gdynia,Gdynia,Gdynia,pomorskie
81-433,Gdynia,Gdynia,Gdynia,pomorskie
81-621,Gdynia,Gdynia,Gdynia,pomorskie
81-008,Gdynia,Gdynia,Gdynia,pomorskie
81-314,Gdynia,Gdynia,Gdynia,pomorskie
81-628,Gdynia,Gdynia,Gdynia,pomorskie
81-461,Gdynia,Gdynia,Gdynia,pomorskie
81-462,Gdynia,Gdynia,Gdynia,pomorskie
81-460,Gdynia,Gdynia,Gdynia,pomorskie
81-470,Gdynia,Gdynia,Gdynia,pomorskie
81-431,Gdynia,Gdynia,Gdynia,pomorskie
81-543,Gdynia,Gdynia,Gdynia,pomorskie
81-267,Gdynia,Gdynia,Gdynia,pomorskie
81-036,Gdynia,Gdynia,Gdynia,pomorskie
81-368,Gdynia,Gdynia,Gdynia,pomorskie
81-057,Gdynia,Gdynia,Gdynia,pomorskie
81-241,Gdynia,Gdynia,Gdynia,pomorskie
81-450,Gdynia,Gdynia,Gdynia,pomorskie
81-441,Gdynia,Gdynia,Gdynia,pomorskie
81-633,Gdynia,Gdynia,Gdynia,pomorskie
81-170,Gdynia,Gdynia,Gdynia,pomorskie
81-180,Gdynia,Gdynia,Gdynia,pomorskie
81-148,Gdynia,Gdynia,Gdynia,pomorskie
81-615,Gdynia,Gdynia,Gdynia,pomorskie
81-055,Gdynia,Gdynia,Gdynia,pomorskie
81-636,Gdynia,Gdynia,Gdynia,pomorskie
81-161,Gdynia,Gdynia,Gdynia,pomorskie
81-474,Gdynia,Gdynia,Gdynia,pomorskie
81-095,Gdynia,Gdynia,Gdynia,pomorskie
81-168,Gdynia,Gdynia,Gdynia,pomorskie
81-640,Gdynia,Gdynia,Gdynia,pomorskie
81-235,Gdynia,Gdynia,Gdynia,pomorskie
81-201,Gdynia,Gdynia,Gdynia,pomorskie
81-508,Gdynia,Gdynia,Gdynia,pomorskie
81-556,Gdynia,Gdynia,Gdynia,pomorskie
81-097,Gdynia,Gdynia,Gdynia,pomorskie
81-448,Gdynia,Gdynia,Gdynia,pomorskie
81-181,Gdynia,Gdynia,Gdynia,pomorskie
81-605,Gdynia,Gdynia,Gdynia,pomorskie
81-392,Gdynia,Gdynia,Gdynia,pomorskie
81-316,Gdynia,Gdynia,Gdynia,pomorskie
81-313,Gdynia,Gdynia,Gdynia,pomorskie
81-580,Gdynia,Gdynia,Gdynia,pomorskie
81-604,Gdynia,Gdynia,Gdynia,pomorskie
81-551,Gdynia,Gdynia,Gdynia,pomorskie
81-300,Gdynia,Gdynia,Gdynia,pomorskie
81-545,Gdynia,Gdynia,Gdynia,pomorskie
81-050,Gdynia,Gdynia,Gdynia,pomorskie
81-356,Gdynia,Gdynia,Gdynia,pomorskie
81-629,Gdynia,Gdynia,Gdynia,pomorskie
81-457,Gdynia,Gdynia,Gdynia,pomorskie
81-256,Gdynia,Gdynia,Gdynia,pomorskie
81-634,Gdynia,Gdynia,Gdynia,pomorskie
81-616,Gdynia,Gdynia,Gdynia,pomorskie
81-373,Gdynia,Gdynia,Gdynia,pomorskie
81-157,Gdynia,Gdynia,Gdynia,pomorskie
81-059,Gdynia,Gdynia,Gdynia,pomorskie
81-439,Gdynia,Gdynia,Gdynia,pomorskie
81-635,Gdynia,Gdynia,Gdynia,pomorskie
81-471,Gdynia,Gdynia,Gdynia,pomorskie
81-190,Gdynia,Gdynia,Gdynia,pomorskie
81-560,Gdynia,Gdynia,Gdynia,pomorskie
81-561,Gdynia,Gdynia,Gdynia,pomorskie
81-257,Gdynia,Gdynia,Gdynia,pomorskie
81-127,Gdynia,Gdynia,Gdynia,pomorskie
81-440,Gdynia,Gdynia,Gdynia,pomorskie
81-391,Gdynia,Gdynia,Gdynia,pomorskie
81-389,Gdynia,Gdynia,Gdynia,pomorskie
81-328,Gdynia,Gdynia,Gdynia,pomorskie
81-421,Gdynia,Gdynia,Gdynia,pomorskie
81-169,Gdynia,Gdynia,Gdynia,pomorskie
81-191,Gdynia,Gdynia,Gdynia,pomorskie
81-384,Gdynia,Gdynia,Gdynia,pomorskie
81-536,Gdynia,Gdynia,Gdynia,pomorskie
81-171,Gdynia,Gdynia,Gdynia,pomorskie
81-630,Gdynia,Gdynia,Gdynia,pomorskie
81-158,Gdynia,Gdynia,Gdynia,pomorskie
81-594,Gdynia,Gdynia,Gdynia,pomorskie
81-647,Gdynia,Gdynia,Gdynia,pomorskie
81-612,Gdynia,Gdynia,Gdynia,pomorskie
81-426,Gdynia,Gdynia,Gdynia,pomorskie
81-153,Gdynia,Gdynia,Gdynia,pomorskie
81-160,Gdynia,Gdynia,Gdynia,pomorskie
81-418,Gdynia,Gdynia,Gdynia,pomorskie
81-317,Gdynia,Gdynia,Gdynia,pomorskie
81-309,Gdynia,Gdynia,Gdynia,pomorskie
81-341,Gdynia,Gdynia,Gdynia,pomorskie
81-342,Gdynia,Gdynia,Gdynia,pomorskie
81-048,Gdynia,Gdynia,Gdynia,pomorskie
81-659,Gdynia,Gdynia,Gdynia,pomorskie
81-065,Gdynia,Gdynia,Gdynia,pomorskie
81-042,Gdynia,Gdynia,Gdynia,pomorskie
81-051,Gdynia,Gdynia,Gdynia,pomorskie
81-049,Gdynia,Gdynia,Gdynia,pomorskie
81-649,Gdynia,Gdynia,Gdynia,pomorskie
81-255,Gdynia,Gdynia,Gdynia,pomorskie
81-058,Gdynia,Gdynia,Gdynia,pomorskie
81-611,Gdynia,Gdynia,Gdynia,pomorskie
81-552,Gdynia,Gdynia,Gdynia,pomorskie
81-531,Gdynia,Gdynia,Gdynia,pomorskie
81-302,Gdynia,Gdynia,Gdynia,pomorskie
81-459,Gdynia,Gdynia,Gdynia,pomorskie
81-335,Gdynia,Gdynia,Gdynia,pomorskie
81-311,Gdynia,Gdynia,Gdynia,pomorskie
81-619,Gdynia,Gdynia,Gdynia,pomorskie
81-353,Gdynia,Gdynia,Gdynia,pomorskie
81-358,Gdynia,Gdynia,Gdynia,pomorskie
81-259,Gdynia,Gdynia,Gdynia,pomorskie
81-437,Gdynia,Gdynia,Gdynia,pomorskie
81-149,Gdynia,Gdynia,Gdynia,pomorskie
81-355,Gdynia,Gdynia,Gdynia,pomorskie
81-557,Gdynia,Gdynia,Gdynia,pomorskie
81-530,Gdynia,Gdynia,Gdynia,pomorskie
81-655,Gdynia,Gdynia,Gdynia,pomorskie
81-435,Gdynia,Gdynia,Gdynia,pomorskie
81-244,Gdynia,Gdynia,Gdynia,pomorskie
81-218,Gdynia,Gdynia,Gdynia,pomorskie
81-112,Gdynia,Gdynia,Gdynia,pomorskie
81-416,Gdynia,Gdynia,Gdynia,pomorskie
81-451,Gdynia,Gdynia,Gdynia,pomorskie
81-464,Gdynia,Gdynia,Gdynia,pomorskie
81-540,Gdynia,Gdynia,Gdynia,pomorskie
81-525,Gdynia,Gdynia,Gdynia,pomorskie
81-359,Gdynia,Gdynia,Gdynia,pomorskie
81-126,Gdynia,Gdynia,Gdynia,pomorskie
81-150,Gdynia,Gdynia,Gdynia,pomorskie
81-159,Gdynia,Gdynia,Gdynia,pomorskie
81-346,Gdynia,Gdynia,Gdynia,pomorskie
81-349,Gdynia,Gdynia,Gdynia,pomorskie
81-380,Gdynia,Gdynia,Gdynia,pomorskie
81-131,Gdynia,Gdynia,Gdynia,pomorskie
81-394,Gdynia,Gdynia,Gdynia,pomorskie
81-010,Gdynia,Gdynia,Gdynia,pomorskie
62-241,Gębarzewko,Czerniejewo,gnieźnieński,wielkopolskie
64-707,Gębice,Czarnków,czarnkowsko-,wielkopolskie
87-707,Gęsin,Zakrzewo,aleksandrowski,kujawsko-pomorskie
32-085,Giebułtów,Wieś,krakowski,małopolskie
37-300,Giedlarowa,Leżajsk,leżajski,podkarpackie
16-400,Gielniewo,Suwałki,suwalski,podlaskie
83-022,Giemlice,Wielkie,gdański,pomorskie
34-122,Gierałtowice,Wieprz,wadowicki,małopolskie
44-186,Gierałtowice,Gierałtowice,gliwicki,śląskie
14-229,Gierłoż,Lubawa,iławski,warmińsko-mazurskie
42-164,Giętkowizna,Lipie,kłobucki,śląskie
34-322,Gilowice,Gilowice,żywiecki,śląskie
32-353,Glanów,Trzyciąż,olkuski,małopolskie
32-412,Glichów,Wiśniowa,myślenicki,małopolskie
07-106,Glina,Miedzna,węgrowski,mazowieckie
38-103,Glinik,Strzyżów,strzyżowski,podkarpackie
38-131,Glinik,Frysztak,strzyżowski,podkarpackie
34-371,Glinka,Ujsoły,żywiecki,śląskie
58-320,Glinno,Walim,wałbrzyski,dolnośląskie
34-730,Glisne,Dolna,limanowski,małopolskie
69-210,Glisno,Lubniewice,sulęciński,lubuskie
44-102,Gliwice,Gliwice,Gliwice,śląskie
44-100,Gliwice,Gliwice,Gliwice,śląskie
44-122,Gliwice,Gliwice,Gliwice,śląskie
44-121,Gliwice,Gliwice,Gliwice,śląskie
44-117,Gliwice,Gliwice,Gliwice,śląskie
44-109,Gliwice,Gliwice,Gliwice,śląskie
44-151,Gliwice,Gliwice,Gliwice,śląskie
44-152,Gliwice,Gliwice,Gliwice,śląskie
44-164,Gliwice,Gliwice,Gliwice,śląskie
44-105,Gliwice,Gliwice,Gliwice,śląskie
44-114,Gliwice,Gliwice,Gliwice,śląskie
44-103,Gliwice,Gliwice,Gliwice,śląskie
44-141,Gliwice,Gliwice,Gliwice,śląskie
61-120,,Gliwice,Bolesława,Chrobrego
44-113,Gliwice,Gliwice,Gliwice,śląskie
44-119,Gliwice,Gliwice,Gliwice,śląskie
48-300,Głębinów,Nysa,nyski,opolskie
58-535,Głębock,Podgórzyn,karkonoski,dolnośląskie
18-305,Głębocz,Szumowo,zambrowski,podlaskie
78-551,Głęboczek,Czaplinek,drawski,zachodniopomorskie
33-350,Głębokie,Piwniczna-Zdrój,nowosądecki,małopolskie
38-480,Głębokie,Rymanów,krośnieński,podkarpackie
32-608,Głębowice,Osiek,oświęcimski,małopolskie
37-204,Głogowiec,Tryńcza,przeworski,podkarpackie
67-200,Głogów,Głogów,głogowski,dolnośląskie
67-211,Głogówko,Kotla,głogowski,dolnośląskie
38-455,Głowienka,Piastowe,krośnieński,podkarpackie
89-634,Główczewice,Brusy,chojnicki,pomorskie
64-735,Głuchowiec,Wronki,szamotulski,wielkopolskie
26-922,Głusiec,Sieciechów,kozienicki,mazowieckie
83-328,Głusino,Kartuzy,kartuski,pomorskie
58-340,Głuszyca,Głuszyca,wałbrzyski,dolnośląskie
63-522,Głuszyna,Kraszewice,ostrzeszowski,wielkopolskie
82-112,Gniazdowo,Ostaszewo,nowodworski,pomorskie
37-203,Gniewczyna,Tryńcza,przeworski,podkarpackie
62-073,Gnin,Rakoniewice,grodziski,wielkopolskie
39-105,Gnojnica,Ropczyce,ropczycko-,podkarpackie
32-864,Gnojnik,Gnojnik,brzeski,małopolskie
08-440,Gocław,Pilawa,garwoliński,mazowieckie
43-230,Goczałkowice-Zdrój,Goczałkowice-Zdrój,pszczyński,śląskie
58-152,Goczałków,Strzegom,świdnicki,dolnośląskie
07-322,Godlewo,Nur,ostrowski,mazowieckie
44-340,Godów,Godów,wodzisławski,śląskie
58-150,Godzieszówek,Strzegom,świdnicki,dolnośląskie
78-422,Godzimierz,Szczecinek,szczecinecki,zachodniopomorskie
72-317,Godziszewo,Resko,łobeski,zachodniopomorskie
43-376,Godziszka,Buczkowice,bielski,śląskie
47-320,Gogolin,Gogolin,krapkowicki,opolskie
86-011,Gogolinek,Koronowo,bydgoski,kujawsko-pomorskie
44-323,Gogołowa,Mszana,wodzisławski,śląskie
58-111,Gogołów,Świdnica,świdnicki,dolnośląskie
43-252,Golasowice,Pawłowice,pszczyński,śląskie
36-231,Golcowa,Domaradz,brzozowski,podkarpackie
73-102,Golczewo,Stargard,stargardzki,zachodniopomorskie
74-305,Golin,Pomorski,myśliborski,zachodniopomorskie
58-350,Golińsk,Mieroszów,wałbrzyski,dolnośląskie
30-698,Golkowice,Wieliczka,wielicki,małopolskie
72-332,Gołańcz,Trzebiatów,gryficki,zachodniopomorskie
62-291,Gołaszewo,Mieścisko,wągrowiecki,wielkopolskie
58-124,Gołaszyce,Żarów,świdnicki,dolnośląskie
09-151,Goławin,Wisłą,płoński,mazowieckie
83-033,Gołębiewo,Wielkie,gdański,pomorskie
27-540,Gołębiów,Lipnik,opatowski,świętokrzyskie
64-605,Gołębowo,Oborniki,obornicki,wielkopolskie
44-341,Gołkowice,Godów,wodzisławski,śląskie
87-322,Gołkówko,Bartniczka,brodnicki,kujawsko-pomorskie
83-316,Gołubie,Stężyca,kartuski,pomorskie
32-052,Gołuchowice,Skawina,krakowski,małopolskie
66-342,Goraj,Przytoczna,międzyrzecki,lubuskie
32-327,Gorenice,Olkusz,olkuski,małopolskie
83-311,Goręczyno,Somonino,kartuski,pomorskie
57-521,Gorzanów,Kłodzka,kłodzki,dolnośląskie
39-231,Gorzejowa,Brzostek,dębicki,podkarpackie
34-100,Gorzeń,Wadowice,wadowicki,małopolskie
66-400,Gorzów,Gorzów,Wielkopolski,lubuskie
88-405,Gorzyce,Żnin,żniński,kujawsko-pomorskie
39-432,Gorzyce,Gorzyce,tarnobrzeski,podkarpackie
44-350,Gorzyce,Gorzyce,wodzisławski,śląskie
87-705,Gosławice,Zakrzewo,aleksandrowski,kujawsko-pomorskie
77-114,Gostkowo,Bytów,bytowski,pomorskie
43-176,Gostyń,Wyry,mikołowski,śląskie
49-130,Goszczowice,Tułowice,opolski,opolskie
47-246,Goszyce,Bierawa,kędzierzyńsko-,opolskie
84-241,Gościcino,Wejherowo,wejherowski,pomorskie
64-611,Gościejewo,Rogoźno,obornicki,wielkopolskie
88-422,Gościeszyn,Rogowo,żniński,kujawsko-pomorskie
66-203,Gościkowo,Świebodzin,świebodziński,lubuskie
09-410,Goślice,Bielsk,płocki,mazowieckie
89-651,Gotelp,Czersk,chojnicki,pomorskie
32-048,Gotkowice,Jerzmanowice-Przeginia,krakowski,małopolskie
63-004,Gowarzewo,Kleszczewo,poznański,wielkopolskie
68-130,Gozdnica,Gozdnica,żagański,lubuskie
06-404,Goździe,Górna,ciechanowski,mazowieckie
09-216,Gójsk,Szczutowo,sierpecki,mazowieckie
05-124,Góra,Wieliszew,legionowski,mazowieckie
49-156,Góra,Niemodlin,opolski,opolskie
84-252,Góra,Wejherowo,wejherowski,pomorskie
39-204,Góra,Żyraków,dębicki,podkarpackie
42-575,Góra,Psary,będziński,śląskie
34-623,Góra,Jodłownik,limanowski,małopolskie
47-154,Góra,Leśnica,strzelecki,opolskie
42-421,Góra,Włodowice,zawierciański,śląskie
32-820,Górka,Szczurowa,brzeski,małopolskie
98-273,Górka,Klonowa,sieradzki,łódzkie
43-436,Górki,Brenna,cieszyński,śląskie
32-091,Górna,Michałowice,krakowski,małopolskie
26-230,Górniki,Radoszyce,konecki,świętokrzyskie
36-051,Górno,Małopolski,rzeszowski,podkarpackie
28-411,Góry,Michałów,pińczowski,świętokrzyskie
37-414,Gózd,Harasiuki,niżański,podkarpackie
38-232,Grab,Krempna,jasielski,podkarpackie
69-214,Grabno,Lubuskie,słubicki,lubuskie
32-853,Grabno,Wojnicz,tarnowski,małopolskie
32-640,Graboszyce,Zator,oświęcimski,małopolskie
42-454,Grabowa,Łazy,zawierciański,śląskie
86-300,Grabowiec,Grudziądz,grudziądzki,kujawsko-pomorskie
86-108,Grabowiec,Świecie,świecki,kujawsko-pomorskie
17-307,Grabowiec,Mielnik,siemiatycki,podlaskie
36-207,Grabownica,Brzozów,brzozowski,podkarpackie
13-113,Grabowo,Janowo,nidzicki,warmińsko-mazurskie
73-110,Grabowo,Stargard,stargardzki,zachodniopomorskie
83-403,Grabowo,Karczma,kościerski,pomorskie
62-304,Grabowo,Kołaczkowo,wrzesiński,wielkopolskie
15-523,Grabówka,Grabówka,białostocki,podlaskie
13-206,Gralewo,Płośnica,działdowski,warmińsko-mazurskie
64-421,Gralewo,Międzychód,międzychodzki,wielkopolskie
05-806,Granica,Michałowice,pruszkowski,mazowieckie
33-221,Grądy,Mędrzechów,dąbrowski,małopolskie
72-341,Grądy,Gryfice,gryficki,zachodniopomorskie
76-021,Grąpa,Manowo,koszaliński,zachodniopomorskie
83-121,Gręblin,Pelplin,tczewski,pomorskie
32-120,Grębocin,Brzesko,proszowicki,małopolskie
28-236,Grobla,Rytwiany,staszowski,świętokrzyskie
59-227,Groble,Chojnów,legnicki,dolnośląskie
27-545,Grocholice,Lipnik,opatowski,świętokrzyskie
58-141,Grochotów,Strzegom,świdnicki,dolnośląskie
87-611,Grochowalsk,Wisłą,lipnowski,kujawsko-pomorskie
37-733,Grochowce,Przemyśl,przemyski,podkarpackie
82-110,Grochowo,Sztutowo,nowodworski,pomorskie
08-111,Grochówka,Zbuczyn,siedlecki,mazowieckie
32-015,Grodkowice,Kłaj,wielicki,małopolskie
59-516,Grodziec,Zagrodno,złotoryjski,dolnośląskie
05-827,Grodzisk,Mazowiecki,grodziski,mazowieckie
47-175,Grodzisko,Opolskie,strzelecki,opolskie
38-102,Grodzisko,Strzyżów,strzyżowski,podkarpackie
42-130,Grodzisko,Wielka,kłobucki,śląskie
58-262,Grodziszcze,Stoszowice,ząbkowicki,dolnośląskie
32-615,Grojec,Oświęcim,oświęcimski,małopolskie
32-590,Gromiec,Libiąż,chrzanowski,małopolskie
34-400,Gronków,Targ,nowotarski,małopolskie
69-220,Gronów,Lubuskie,słubicki,lubuskie
66-220,Gronów,Łagów,świebodziński,lubuskie
34-406,Groń,Tatrzańska,tatrzański,małopolskie
33-331,Gródek,Grybów,nowosądecki,małopolskie
86-111,Gruczno,Świecie,świecki,kujawsko-pomorskie
37-742,Gruszowa,Fredropol,przemyski,podkarpackie
32-414,Gruszów,Raciechowice,myślenicki,małopolskie
59-620,Gryfów,Śląski,lwówecki,dolnośląskie
34-450,Grywałd,Dunajcem,nowotarski,małopolskie
48-325,Gryżów,Korfantów,nyski,opolskie
26-115,Grzybowa,Kościelne,skarżyski,świętokrzyskie
06-461,Grzybowo,Regimin,ciechanowski,mazowieckie
62-309,Grzybowo,Września,wrzesiński,wielkopolskie
78-132,Grzybowo,Kołobrzeg,kołobrzeski,zachodniopomorskie
39-308,Grzybów,Górne,mielecki,podkarpackie
64-723,Gulcz,Wieleń,czarnkowsko-,wielkopolskie
77-233,Gumieniec,Trzebielino,bytowski,pomorskie
11-041,Gutkowo,Jonkowo,olsztyński,warmińsko-mazurskie
07-304,Guty-Bujno,Mazowiecka,ostrowski,mazowieckie
42-772,Gwoździany,Pawonków,lubliniecki,śląskie
32-855,Gwoździec,Zakliczyn,tarnowski,małopolskie
38-116,Gwoźnica,Niebylec,strzyżowski,podkarpackie
36-213,Haczów,Haczów,brzozowski,podkarpackie
37-231,Hadle,Polski,przeworski,podkarpackie
15-593,Halickie,Zabłudów,białostocki,podlaskie
37-123,Handzlówka,Łańcut,łańcucki,podkarpackie
38-243,Harklowa,Skołyszyn,jasielski,podkarpackie
36-067,Harta,Dynów,rzeszowski,podkarpackie
43-419,Hażlach,Hażlach,cieszyński,śląskie
43-330,Hecznarowice,Wilamowice,bielski,śląskie
42-510,Hektary,Siewierz,będziński,śląskie
84-150,Hel,Hel,pucki,pomorskie
88-126,Helenowo,Kujawskie,inowrocławski,kujawsko-pomorskie
15-511,Henrykowo,Grabówka,białostocki,podlaskie
59-800,Henryków,Lubań,lubański,dolnośląskie
22-151,Henrysin,Chełm,chełmski,lubelskie
36-245,Hłudno,Nozdrzec,brzozowski,podkarpackie
37-714,Hnatkowice,Orły,przemyski,podkarpackie
38-535,Hołuczków,Wołoska,sanocki,podkarpackie
05-080,Hornówek,warszawski,zachodni,mazowieckie
16-001,Horodniany,Kościelny,białostocki,podlaskie
22-205,Horostyta,Wyryki,włodawski,lubelskie
22-525,Hrebenne,Horodło,hrubieszowski,lubelskie
37-724,Hruszowice,Stubno,przemyski,podkarpackie
15-378,Hryniewicze,Kościelny,białostocki,podlaskie
34-436,Huba,Czorsztyn,nowotarski,małopolskie
36-147,Hucina,Niwiska,kolbuszowski,podkarpackie
34-233,Hucisko,Stryszawa,suski,małopolskie
37-311,Hucisko,Leżajsk,leżajski,podkarpackie
37-230,Hucisko,Polski,przeworski,podkarpackie
36-206,Humniska,Brzozów,brzozowski,podkarpackie
37-705,Hureczko,Medyka,przemyski,podkarpackie
37-121,Husów,Markowa,łańcucki,podkarpackie
57-516,Huta,Kłodzka,kłodzki,dolnośląskie
89-413,Huta,Koronowo,bydgoski,kujawsko-pomorskie
64-708,Huta,Czarnków,czarnkowsko-,wielkopolskie
82-316,Huta,Milejewo,elbląski,warmińsko-mazurskie
42-274,Hutki,Konopiska,częstochowski,śląskie
42-450,Hutki-Kanki,Łazy,zawierciański,śląskie
37-743,Huwniki,Fredropol,przemyski,podkarpackie
84-223,Igrzyczno,Linia,wejherowski,pomorskie
33-132,Ilkowice,Żabno,tarnowski,małopolskie
43-394,Iłownica,Jasienica,bielski,śląskie
41-407,Imielin,Imielin,bieruńsko-lędziński,śląskie
73-132,Ininy,Suchań,stargardzki,zachodniopomorskie
88-100,Inowrocław,Inowrocław,inowrocławski,kujawsko-pomorskie
38-422,Iskrzynia,Korczyna,krośnieński,podkarpackie
43-470,Istebna,Istebna,cieszyński,śląskie
42-152,Iwanowice,Opatów,kłobucki,śląskie
89-512,Iwiec,Cekcyn,tucholski,kujawsko-pomorskie
78-451,Iwin,Grzmiąca,szczecinecki,zachodniopomorskie
59-720,Iwiny,Bolesławiecka,bolesławiecki,dolnośląskie
52-116,Iwiny,Siechnice,wrocławski,dolnośląskie
32-861,Iwkowa,Iwkowa,brzeski,małopolskie
38-440,Iwonicz,Iwonicz-Zdrój,krośnieński,podkarpackie
15-603,Izabelin,Kościelny,białostocki,podlaskie
36-203,Izdebki,Nozdrzec,brzozowski,podkarpackie
34-144,Izdebnik,Lanckorona,wadowicki,małopolskie
21-526,Jabłeczna,Sławatycze,bialski,lubelskie
34-480,Jabłonka,Jabłonka,nowotarski,małopolskie
47-263,Jaborowice,Cerekiew,kędzierzyńsko-,opolskie
58-373,Jaczków,Bór,wałbrzyski,dolnośląskie
38-532,Jaćmierz,Zarszyn,sanocki,podkarpackie
